t_values,ir_values,red_values
4.108724,41783.0,60413.0
4.119644,41764.0,60387.0
4.13308,41756.0,60392.0
4.145592,41768.0,60402.0
4.158096,41776.0,60414.0
4.170608,41772.0,60405.0
4.183124,41775.0,60423.0
4.195632,41786.0,60408.0
4.208432,41775.0,60419.0
4.219356,41778.0,60429.0
4.232796,41771.0,60436.0
4.245312,41790.0,60416.0
4.25782,41776.0,60411.0
4.270328,41782.0,60444.0
4.282844,41784.0,60440.0
4.295636,41776.0,60433.0
4.30656,41780.0,60427.0
4.319988,41805.0,60439.0
4.332504,41780.0,60446.0
4.345024,41780.0,60448.0
4.357532,41776.0,60467.0
4.370048,41788.0,60447.0
4.382848,41786.0,60459.0
4.393772,41787.0,60454.0
4.407232,41781.0,60466.0
4.419744,41779.0,60467.0
4.432272,41779.0,60469.0
4.444784,41772.0,60467.0
4.457292,41795.0,60466.0
4.470108,41793.0,60476.0
4.481036,41785.0,60455.0
4.494464,41774.0,60456.0
4.506976,41778.0,60435.0
4.51948,41780.0,60425.0
4.531996,41762.0,60430.0
4.544508,41764.0,60399.0
4.557312,41763.0,60387.0
4.568236,41751.0,60391.0
4.58168,41772.0,60383.0
4.594188,41749.0,60359.0
4.6067,41761.0,60377.0
4.619208,41761.0,60378.0
4.63172,41754.0,60358.0
4.64424,41752.0,60332.0
4.657028,41748.0,60333.0
4.667956,41744.0,60332.0
4.6814,41741.0,60315.0
4.693908,41731.0,60316.0
4.70644,41752.0,60306.0
4.718948,41754.0,60321.0
4.73146,41739.0,60306.0
4.74426,41749.0,60307.0
4.755176,41736.0,60310.0
4.768624,41735.0,60316.0
4.78114,41728.0,60283.0
4.793648,41720.0,60278.0
4.80616,41718.0,60269.0
4.818668,41706.0,60276.0
4.831468,41732.0,60261.0
4.842392,41727.0,60278.0
4.855836,41724.0,60258.0
4.868344,41726.0,60265.0
4.88086,41724.0,60264.0
4.89336,41716.0,60245.0
4.905876,41725.0,60252.0
4.91868,41706.0,60244.0
4.929604,41721.0,60246.0
4.94304,41721.0,60230.0
4.955544,41726.0,60231.0
4.968056,41713.0,60242.0
4.98056,41705.0,60236.0
4.993072,41702.0,60217.0
5.005584,41703.0,60216.0
5.018376,41717.0,60221.0
5.029296,41711.0,60222.0
5.04274,41691.0,60219.0
5.055244,41705.0,60216.0
5.067756,41712.0,60221.0
5.080276,41714.0,60223.0
5.092784,41706.0,60214.0
5.105588,41701.0,60203.0
5.116512,41706.0,60207.0
5.129956,41693.0,60226.0
5.142472,41697.0,60216.0
5.154976,41697.0,60203.0
5.167496,41706.0,60213.0
5.180004,41684.0,60213.0
5.192508,41697.0,60223.0
5.205308,41676.0,60223.0
5.216228,41698.0,60219.0
5.22968,41707.0,60226.0
5.242196,41701.0,60223.0
5.254708,41688.0,60253.0
5.26722,41686.0,60231.0
5.279732,41693.0,60240.0
5.292524,41715.0,60252.0
5.303444,41695.0,60255.0
5.316876,41710.0,60259.0
5.329388,41685.0,60262.0
5.3419,41707.0,60268.0
5.3544,41697.0,60275.0
5.36692,41703.0,60292.0
5.379428,41725.0,60286.0
5.392216,41711.0,60279.0
5.40314,41690.0,60286.0
5.416568,41724.0,60276.0
5.42908,41699.0,60314.0
5.441596,41714.0,60303.0
5.454096,41704.0,60324.0
5.466608,41718.0,60325.0
5.47912,41717.0,60339.0
5.491908,41723.0,60343.0
5.502832,41712.0,60330.0
5.516268,41716.0,60346.0
5.528784,41700.0,60325.0
5.541304,41713.0,60316.0
5.553808,41718.0,60313.0
5.566324,41720.0,60284.0
5.579136,41714.0,60296.0
5.59006,41706.0,60305.0
5.6035,41710.0,60275.0
5.616012,41693.0,60274.0
5.628528,41702.0,60259.0
5.64104,41724.0,60258.0
5.653548,41703.0,60254.0
5.66634,41693.0,60245.0
5.677264,41698.0,60249.0
5.690692,41715.0,60237.0
5.703216,41711.0,60230.0
5.71572,41691.0,60232.0
5.728236,41721.0,60226.0
5.740756,41702.0,60234.0
5.753544,41726.0,60242.0
5.764468,41710.0,60236.0
5.777908,41700.0,60238.0
5.790416,41717.0,60231.0
5.802928,41699.0,60248.0
5.81544,41724.0,60255.0
5.82796,41721.0,60241.0
5.840472,41710.0,60250.0
5.853256,41716.0,60252.0
5.864176,41717.0,60246.0
5.877616,41704.0,60231.0
5.890124,41703.0,60246.0
5.90264,41716.0,60247.0
5.915148,41699.0,60248.0
5.92766,41700.0,60233.0
5.94046,41708.0,60227.0
5.951384,41719.0,60232.0
5.96484,41714.0,60229.0
5.977344,41715.0,60243.0
5.989856,41725.0,60235.0
6.002368,41713.0,60218.0
6.014876,41704.0,60253.0
6.027684,41705.0,60222.0
6.038604,41713.0,60228.0
6.052028,41712.0,60238.0
6.064544,41718.0,60240.0
6.077056,41716.0,60249.0
6.08956,41714.0,60246.0
6.102084,41708.0,60261.0
6.114592,41719.0,60252.0
6.1274,41714.0,60251.0
6.138328,41715.0,60262.0
6.15176,41717.0,60272.0
6.164268,41727.0,60267.0
6.176784,41710.0,60292.0
6.18928,41722.0,60275.0
6.2018,41736.0,60280.0
6.214592,41713.0,60274.0
6.225516,41704.0,60261.0
6.23896,41710.0,60228.0
6.251464,41702.0,60213.0
6.26398,41699.0,60216.0
6.276496,41683.0,60215.0
6.289,41687.0,60192.0
6.301516,41689.0,60178.0
6.314316,41682.0,60174.0
6.32524,41679.0,60169.0
6.338692,41673.0,60173.0
6.351192,41685.0,60149.0
6.363712,41678.0,60149.0
6.376224,41679.0,60169.0
6.38874,41687.0,60154.0
6.401544,41684.0,60151.0
6.412464,41678.0,60176.0
6.425912,41670.0,60169.0
6.438424,41690.0,60204.0
6.450924,41699.0,60193.0
6.463436,41691.0,60229.0
6.475948,41701.0,60247.0
6.488744,41701.0,60221.0
6.499668,41706.0,60213.0
6.513108,41703.0,60234.0
6.525624,41708.0,60209.0
6.538136,41702.0,60220.0
6.550652,41691.0,60221.0
6.563164,41704.0,60196.0
6.575964,41685.0,60166.0
6.586888,41676.0,60169.0
6.600332,41670.0,60101.0
6.61284,41673.0,60093.0
6.625356,41634.0,60054.0
6.637864,41637.0,60026.0
6.650368,41626.0,60006.0
6.662876,41639.0,59977.0
6.67568,41620.0,59976.0
6.6866,41616.0,59969.0
6.70006,41600.0,59920.0
6.71256,41599.0,59905.0
6.725084,41588.0,59889.0
6.7376,41587.0,59853.0
6.750388,41568.0,59838.0
6.761316,41573.0,59831.0
6.774756,41538.0,59777.0
6.787264,41526.0,59758.0
6.79978,41523.0,59732.0
6.812292,41514.0,59715.0
6.824808,41504.0,59682.0
6.837612,41506.0,59672.0
6.84854,41517.0,59695.0
6.86198,41499.0,59644.0
6.8745,41489.0,59614.0
6.887008,41482.0,59574.0
6.89952,41468.0,59577.0
6.912032,41449.0,59569.0
6.924824,41461.0,59542.0
6.935748,41439.0,59551.0
6.949176,41451.0,59572.0
6.961688,41440.0,59565.0
6.974196,41438.0,59547.0
6.9867,41439.0,59552.0
6.999216,41451.0,59544.0
7.011732,41459.0,59563.0
7.024536,41457.0,59547.0
7.035464,41463.0,59543.0
7.048892,41461.0,59563.0
7.061408,41462.0,59567.0
7.073924,41472.0,59561.0
7.086428,41470.0,59587.0
7.098948,41478.0,59594.0
7.111744,41479.0,59612.0
7.122664,41497.0,59605.0
7.136112,41490.0,59647.0
7.14862,41511.0,59662.0
